Year,Argentina,Australia,Bulgaria,China (Mainland),Colombia,France,"Germany, Fed. Republic",Greece,India,Italy,Japan,Mexico,Peru,Poland,Saudi Arabia,Turkey,United Kingdom,Mean
2006,,,,,,,,,,,,,,,,,,
2007,3.8123865165635413,0.15631089885315252,1.7909183610989814,1.0899796039076701,0.0529823470533175,21.546408236705897,0.7715710511292246,0.24756971514341308,,3.7015804052690413,0.04884044306050228,-0.24946500630810797,-0.8557480810826045,2.1303983357087066,-0.5605812720484051,23.376828611463125,-0.30573413211157463,3.5471403771503676
2008,-0.7388168528866618,0.40265562518584663,1.586502082750974,0.6230299398755654,-0.21701906798872495,0.7654106378948791,0.5104198796810475,4.503911346264178,2.477739571865908,1.038548225136132,0.23583456069065778,0.444557712539007,16.84790661018965,-0.7990457170369358,0.8749553267749666,4.088389100536903,1.2483079812645594,1.9937227625139973
2009,-0.6129002059464908,0.17567516637364777,-0.8688099238558917,-0.8604755746863724,0.23498419955290828,-0.9590959736536958,-0.6002732998925702,0.36459376089546014,0.3817496831940681,-0.7222597399543814,-0.0393582675034464,0.3392468641116866,3.5028908687524236,0.7325634924873836,0.6019436209935638,-0.8397048604379483,-0.38312636707373027,0.02633196725627147
2010,-0.9247150645448835,0.17522138781675345,0.0,1.985798174187836,0.8659006068408326,4.921354757627911,-0.08322369419118947,-0.5448358008714272,1.2540904132832384,0.7216140442229961,0.006517413563048136,0.16362160106009482,0.552464771640415,-0.41347123457856516,-0.7766602728545082,-0.7986143685711512,-0.4126024912949452,0.3936741319609679
2011,0.0,0.2670655917396807,0.0,3.440152159730385,0.3893069928850015,-0.7481634257686072,0.2616900419873118,-0.8284672890458589,-0.8372748100951989,-0.6490092789418722,0.16005532090298447,0.002635482403275491,-0.3356716966114186,0.0,2.283829040811975,1.0634879470485106,-0.6043474742451858,0.22736991781182253
2012,5.314898795536335,0.06539536642462784,0.0,-0.05600543204483244,0.7798957308441359,-0.469439021887197,0.12351676793221533,-0.9485590782347408,-0.4028164346976464,-0.6451509928945632,-0.06903566494645397,0.1209056480724946,1.4879919822829,0.0,-0.22169296292073437,-0.8414824420181659,-0.21529127441514573,0.23665476394313115
2013,-0.9398964001020844,-0.1755425557506508,0.0,-0.22977619737833588,0.8542511170775304,-0.8314505615202741,-0.2822590232228752,2.5850675327412103,-0.0022941130725563363,0.16892714818319243,-0.02762700987567146,0.06291578955402177,0.46370964152637706,0.0,-0.2118480072870983,21.184076525921554,0.3547900422871366,1.3513555252400866
2014,2.0780147299791816,-0.08031711974674294,0.0,-0.3322855314201457,0.33070400895249996,0.12262937974202881,-0.4185106123361314,-0.6417601996699862,-0.9002042258891657,-0.368334350230587,0.10196627344377607,0.10748731081070617,0.31262254229273845,0.0,-0.8493448644880517,-0.23605123256926797,-0.10768983099446372,-0.05182786600727125
2015,-0.5118593296553628,0.15269279876290764,0.0,-0.2240488052808569,-0.17380440346968373,-0.5286044857723482,-0.006956532297497153,-0.8452113901475333,-0.47299411125793156,-0.10405718267903663,-0.13232585087936577,0.12572987472030572,1.279257536193208,-0.8991366855461307,8.04042610152717,0.0,0.005943306058529885,0.3355912258986103
2016,0.0,0.06021241566293112,0.0,0.9819996247708962,0.09432564054193793,-0.02803821890363578,-0.14984275994882046,20.749639540078704,2.920122566446652,0.6285977486116183,-0.048376126139646036,0.036261130649959394,-0.3334754592686776,0.0,-0.5236418521072858,-0.01686965783975214,0.07211017816336573,1.437824986512838
