Year,Argentina,China (Mainland),Colombia,France,"Germany, Fed. Republic",Greece,India,Italy,Japan,Mexico,Peru,Poland,Saudi Arabia,United Kingdom,Zambia,Mean
2006,,,,,,,,,,,,,,,,
2007,-0.20052692213734657,0.30585094064455687,5.52056370416596,0.8974281206081813,0.026029207495034345,-0.5796853460385709,,3.1736595967084575,2.317600648429754,-0.11296158639862541,0.35123271641290676,,-0.24720291142756834,0.07310821003899926,,0.9604246982084782
2008,1.73204127515851,-0.6087455596329989,6.948936980973793,-0.19799716915237342,1.3631053025673547,-0.9724346594056207,5.5828854284583045,0.15693300282549782,0.47413223811540073,0.2957640550622078,1.5545916942439457,,0.7279565280264677,-0.14768410407841837,6.463198864369593,1.6694774198236904
2009,-0.9099931020216782,0.2917527814953693,-0.7318475597991398,-0.39683642116114815,-0.515912457108792,4.974225924453354,-0.8912494751646619,0.024858772477768465,0.19420010901908769,-0.17339367044067244,0.1930930588849742,0.0,-0.1805282755252854,-0.6810664885667526,0.0,0.07982021310282825
2010,28.29300967419796,0.8883375111061966,5.812341108719352,0.15992112438637518,1.573248933586262,0.24440427154897937,0.0,2.47867269175796,0.2878706465405383,-0.20399894472928726,0.9974841268460022,5.701994970805031,1.0303497616666926,0.21211705301238348,-0.6969339622641505,3.118587931145354
2011,1.0915312713035341,-0.5310572202148336,2.761673792489196,-0.5782460615806528,0.7402589151890939,3.369228065492152,-0.9907211986696663,0.557852765385328,0.3146845483411853,-0.02551587456938742,0.4783415420940347,-0.7634281200631912,0.2963054152732081,0.5764868573957329,0.0,0.48649297985771567
2012,-0.9996005031335662,1.9194364449961858,-0.6195723136861067,-0.1300962379288778,-0.1911028495581425,-0.5750338713786073,0.0,-0.17513825673863737,-0.011452574047097874,-0.2826816312736522,0.8651108286215059,0.0,-0.6909662318132956,-0.42140143394563623,0.0,-0.08749990865906186
2013,0.0,0.20134224384987198,2.7215931439866816,-0.17162076604668797,0.1858271544934027,0.819451999948674,0.0,0.10658908386042887,0.504029730355237,0.14896249960103303,-0.19300992570690423,0.0,-0.9643376830928099,0.32338354624052457,0.0,0.24548073516596344
2014,8.237178956707154,-0.4962499514673673,0.1863015433500701,-0.06391104447476437,-0.11857943652359815,-0.3142110025520508,6.89699168486467,0.07321109350352017,-0.008144735017293736,0.07760591673839268,-0.04619692201071024,0.0,0.2716951801502949,1.2042771166017467,0.0,1.059997893324671
2015,-0.6783174613538947,-0.8008320720281785,-0.23518466281655548,-0.36407550712839876,-0.10202205382769769,-0.6739603107625693,8.91251879764038,-0.08696438056749523,-0.1879754359399367,-0.16977062921775388,0.056166889262612374,0.0,-0.6352550628658041,3.9175423348404985,0.0,0.5967913630156806
2016,0.0,-0.9994142800571728,1.0980504638141544,0.31758769721156344,-0.31812629157375594,3.1598141312265824,3.1806731907079797,-0.15601951517443746,0.21655756697941042,0.0900689932536014,-0.05354184999418021,-0.9878496497604666,-0.37937178169974217,0.022886750094898378,0.0,0.3460876950018957
