LOCATION,2006,06-07 Percent,2007,07-08 Percent,2008,08-09 Percent,2009,09-10 Percent,2010,10-11 Percent,2011,11-12 Percent,2012,12-13 Percent,2013,13-14 Percent,2014,14-15 Percent,2015,15-16 Percent,2016
ARG,15460.41412,10.84088759,17136.46023,5.040381172,18000.20315,-6.117772223,16898.99172,9.621077223,18524.85676,6.977617893,19817.45048,-0.268578781,19764.22501,3.04281263,20365.61335,-1.754392072,20008.32064,2.716432637,20551.83319,-2.050547813,20130.40803
AUS,37844.78209,4.631975486,39597.74312,1.255349545,40094.83321,3.792242866,41615.32666,2.816346707,42787.35854,3.814096653,44419.30975,-1.21597881,43879.18036,8.847097128,47761.21406,-0.25665307,47638.63344,-0.603682611,47351.04729,6.247714906,50309.40573
BGR,11249.36626,12.06814879,12606.95651,11.76121434,14089.68769,-1.168683335,13925.02386,4.837059188,14598.5855,7.27883291,15661.19215,3.706072657,16241.60731,2.09445469,16581.78042,5.872321473,17555.51587,4.480210265,18342.03989,9.091130037,20009.53859
CHN,5852.349553,16.69543111,6829.424541,11.22070629,7595.73421,9.698554618,8332.410641,11.39028803,9281.496213,11.30476295,10330.74736,9.385082273,11300.2965,9.121525239,12331.05589,8.762007976,13411.504,7.5140031,14419.24482,7.272540816,15467.89029
COL,8993.624772,8.41764231,9750.675936,4.024124364,10143.05526,0.780583009,10222.23023,4.332337906,10665.09178,8.331668701,11553.6719,4.674476156,12093.74554,5.184238937,12720.7142,5.499037523,13420.23105,2.887757652,13807.7748,2.05139054,14091.02618
DEU,34624.96888,6.339888323,36820.15324,4.378838288,38432.44821,-2.423266519,37501.12756,5.872971482,39703.55809,7.147860733,42541.51313,1.922893339,43359.54105,3.768782488,44993.66784,4.48421447,47011.2804,1.430011889,47683.5473,6.040871825,50564.04928
FRA,32435.70292,5.109236141,34092.91957,2.962347806,35102.87043,-1.092119927,34719.50499,3.503900434,35936.04187,4.207218139,37447.94954,0.630871722,37684.19807,4.894028987,39528.47364,1.557322568,40144.05949,1.735720856,40840.8483,4.92813237,42853.53936
GBR,34772.47846,2.378093966,35599.40067,2.951455848,36650.10126,-4.397011545,35038.59208,3.804451357,36371.61827,2.129558809,37146.17327,3.130484078,38309.02831,4.374573819,39984.88504,3.212380365,41269.35163,3.035744831,42522.18384,3.800038524,44138.04321
GRC,28514.6294,2.718275357,29289.73554,5.347266563,30855.93577,-1.515376764,30388.35209,-7.302057717,28169.37708,-7.200322691,26141.09103,-3.277159514,25284.40578,3.216969942,26097.79752,2.838495285,26838.58227,0.237513831,26902.32761,3.423448306,27823.31489
IDN,7300.866433,7.566735812,7853.303708,6.457646296,8360.442284,1.767115566,8508.180961,-1.275536692,8399.655991,6.832505767,8973.562971,6.551296936,9561.447727,5.945058931,10129.88143,5.573278887,10694.44797,4.629837588,11189.58354,4.850468088,11732.33072
IND,3362.269982,9.93061785,3696.164165,3.937056784,3841.684247,6.828381151,4104.00909,7.72132666,4420.893038,7.203981328,4739.373347,6.173470321,5031.957154,6.868561008,5377.580201,8.060246855,5811.02644,7.728568518,6260.1356,7.302510923,6717.282686
ITA,32256.66822,5.104494416,33903.20805,4.044173865,35274.31272,-2.604865113,34355.46446,1.460618015,34857.26656,3.804226768,36183.31603,-0.49859258,36002.9087,0.1799817,36067.70734,0.352695914,36194.91667,1.973703035,36909.29684,8.152432659,39918.30241
JPN,33094.33769,4.269106075,34507.17007,0.859206189,34803.65781,-4.602018761,33201.98695,5.398427737,34994.37223,2.231456252,35775.25633,4.021162148,37213.8374,4.822193269,39008.36056,0.448891259,39183.46568,3.120269304,40406.09533,-0.946646472,40023.59246
MEX,13720.68823,3.734078383,14233.02948,4.587027379,14885.90244,-2.374837008,14532.38652,4.990832284,15257.67356,8.447997352,16546.64141,4.069875627,17220.06914,1.40376398,17461.79827,4.041506322,18167.51795,1.489064895,18438.04408,5.788181498,19505.27154
PER,,,8098.434185,9.993600127,8907.759314,0.730166664,8972.800803,8.367541479,9723.603632,7.325141141,10435.87132,6.961394498,11162.35349,6.533380406,11891.63251,3.183302803,12270.17918,,,,
POL,15143.17634,10.86623954,16788.67016,9.091699776,18315.04564,4.258842403,19095.05457,8.953622141,20804.75361,8.514524178,22576.17938,4.27806475,23542.00296,3.741232017,24422.76391,3.58348687,25297.95045,4.866348184,26529.0368,5.346419193,27947.39031
SAU,41791.16649,1.790577617,42539.46976,5.442835638,44854.82318,-3.98034738,43069.4454,3.302572663,44491.84513,9.064120841,48524.63974,4.299652621,50611.03068,1.506839147,51373.6575,2.757523855,52790.29836,2.617550025,54172.11083,0.494223871,54439.84234
TUR,13513.39443,8.975662966,14726.31117,8.042672423,15910.70013,-3.541731918,15347.18579,12.36318637,17244.58697,12.76079427,19445.13323,5.288240768,20473.4387,8.456941091,22204.86535,8.006115629,23982.61254,7.276071796,25727.60465,3.040829361,26509.93721
USA,46230.8462,3.614933077,47902.06035,0.854166495,48311.2237,-2.655828621,47028.1604,2.908136456,48395.80347,2.923592408,49810.69951,3.473689047,51540.96832,2.919962205,53045.94512,3.67082605,54993.16949,3.231761101,56770.41735,1.96241947,57884.49107
ZMB,2393.216756,8.221963828,2589.986172,6.906375908,2768.860353,6.956752109,2961.483104,8.474292751,3212.447852,4.643157893,3361.606878,6.388801868,3576.373281,3.500987094,3701.581648,3.365664595,3826.164471,0.939948642,3862.128452,1.949739941,3937.429913
